dt,bat_v,dht_h,dht_t,ref_v,therm_v,out_v,in_v
20251223T221648,7.469, 20.0, 35.0,2.478,2.757,2.478,2.483
20251223T221650,7.610, 20.0, 35.0,2.478,2.757,2.483,2.483
20251223T221651,7.478, 20.0, 35.0,2.478,2.757,2.483,2.483
20251223T221653,7.487, 20.0, 35.0,2.478,2.757,2.483,2.483
20251223T221654,7.619, 20.0, 35.0,2.473,2.757,2.478,2.483
20251223T221656,7.645, 20.0, 35.0,2.473,2.757,2.478,2.483
20251223T221658,7.636, 20.0, 35.0,2.473,2.757,2.478,2.483
20251223T221659,7.425, 20.0, 35.0,2.473,2.757,2.478,2.483
20251223T221701,7.707, 20.0, 35.0,2.473,2.757,2.478,2.483
20251223T221702,7.707, 20.0, 35.0,2.473,2.757,2.478,2.483
20251223T221704,7.698, 20.0, 35.0,2.473,2.757,2.478,2.483
20251223T221706,7.434, 20.0, 36.0,2.473,2.761,2.478,2.478
20251223T221707,7.487, 20.0, 35.0,2.473,2.761,2.478,2.478
20251223T221709,7.443, 20.0, 35.0,2.473,2.766,2.478,2.478
20251223T221710,7.566, 20.0, 35.0,2.473,2.766,2.478,2.483
20251223T221712,7.584, 20.0, 35.0,2.473,2.776,2.478,2.478
20251223T221714,7.452, 20.0, 35.0,2.478,2.781,2.478,2.483
20251223T221715,7.663, 20.0, 35.0,2.473,2.786,2.478,2.483
20251223T221717,7.504, 20.0, 34.0,2.473,2.791,2.478,2.483
20251223T221718,7.654, 20.0, 34.0,2.473,2.796,2.478,2.483
20251223T221720,7.557, 20.0, 34.0,2.473,2.805,2.478,2.483
20251223T221722,7.425, 20.0, 35.0,2.473,2.810,2.478,2.483
20251223T221723,7.408, 20.0, 35.0,2.473,2.815,2.478,2.483
20251223T221725,7.610, 20.0, 35.0,2.473,2.820,2.478,2.478
20251223T221726,7.601, 20.0, 35.0,2.468,2.825,2.478,2.478
20251223T221728,7.654, 20.0, 35.0,2.468,2.830,2.478,2.478
20251223T221730,7.557, 20.0, 34.0,2.468,2.835,2.473,2.478
20251223T221731,7.733, 20.0, 34.0,2.468,2.840,2.473,2.478
20251223T221733,7.601, 20.0, 34.0,2.468,2.840,2.473,2.478
20251223T221734,7.760, 20.0, 34.0,2.468,2.845,2.473,2.478
20251223T221736,7.399, 20.0, 33.0,2.468,2.845,2.473,2.478
20251223T221738,7.592, 20.0, 33.0,2.468,2.849,2.478,2.478
20251223T221739,7.645, 20.0, 33.0,2.468,2.845,2.473,2.478
20251223T221741,7.434, 20.0, 33.0,2.468,2.849,2.473,2.478
20251223T221742,7.698, 20.0, 33.0,2.478,2.859,2.483,2.483
20251223T221744,7.557, 20.0, 33.0,2.473,2.864,2.483,2.483
20251223T221746,7.557, 20.0, 33.0,2.473,2.874,2.478,2.483
20251223T221747,7.601, 19.0, 33.0,2.473,2.884,2.478,2.483
20251223T221749,7.381, 20.0, 34.0,2.473,2.893,2.478,2.483
20251223T221750,7.548, 20.0, 34.0,2.473,2.908,2.478,2.483
20251223T221752,7.504, 20.0, 34.0,2.473,2.918,2.478,2.483
20251223T221754,7.540, 19.0, 34.0,2.473,2.933,2.478,2.483
20251223T221755,7.408, 19.0, 34.0,2.473,2.947,2.478,2.483
20251223T221757,7.531, 19.0, 34.0,2.473,2.962,2.478,2.483
